Timestamp,Age,Gender,How often do you visit hotpot restaurants?,Which hotpot restaurant did you visit most recently?,Were you a new or returning customer?,Where did you first hear of this restaurant?,What were the main reasons for choosing this restaurant? (Select all that apply) ,Was it easy to find information about the restaurant?,How did you make your reservation?,"How satisfied were you with the reservation process? 
(5 stars - very satisfied, 1 star - very dissatisfied) If you did walk-in, you may leave this question blank.",How long did you wait to be seated?,"How would you rate the quality of customer service? 
 (1 star - Very poor, 5 stars - Excellent)","How would you describe the restaurant’s ambience?   
( 1 heart - Very poor, 5 hearts - Excellent)",How satisfied were you with the cleanliness and hygiene of the restaurant?,"How would you rate the quality and freshness of the hotpot ingredients?
",Was there a good variety of soup bases and sauces?,"How would you rate the value for money?
(1 star = Very poor value, 5 stars = Excellent value)  ",Did you notice or use any loyalty programs?,"What aspects of the loyalty program did you find most appealing? (e.g., discounts, free items, points accumulation, etc. If unable to answer, please specify ""NA"").",How likely are you to return to this restaurant? ,What did you like most about this hotpot experience?,"Did you experience any issues during your visit? (Leave ""NA"" if no issues)",What improvements would you like to see in the restaurant that would make you return?,What three words would you use to describe this restaurant brand?  , How would you rate the brand's reputation compared to other hotpot restaurants?  ,"How likely are you to recommend this restaurant to others?
(1 star = Not at all likely, 5 stars = Extremely likely)","Do you feel the brand delivers on its promises? (e.g., quality, service, atmosphere)","In your opinion, what makes this restaurant unique? (Leave ""NA"" if you don't find it unique)"
2024/11/06 11:24:25 PM GMT+8,45 and above,Female,Monthly,Beauty in the Pot,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Recommendation / Word of mouth;Restaurant promotions or discounts;Previous positive experience (staff service),Very easy,Phone,5,15 - 30 minutes,5,5,5,5,"Yes, but could be better",5,"Yes, but didn't use them",Discount ,5,Good dinning experience ,No ,Special promotions,Beauty relates to nourishing food to complexion n health,Much better,5,Agree,NA
2024/11/07 2:20:01 PM GMT+8,18 - 24,Female,Every few months,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Recommendation / Word of mouth;Restaurant promotions or discounts;Previous positive experience (staff service),Very easy,Online through the restaurant's website,5,Less than 5 minutes,5,5,4,4,"Yes, but could be better",4,I'm not sure of the options available,discounts and free items,5,enjoy eating with my friends,nope,Food variety;Special promotions,"amazing, cozy, entertaining ",Much better,5,Strongly agree,the performances
2024/11/07 2:50:53 PM GMT+8,18 - 24,Female,Monthly,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Recommendation / Word of mouth;Restaurant promotions or discounts;Social media/online reviews;Previous positive experience (staff service),Very easy,Third-party booking platform,5,5 - 15 minutes,5,5,5,4,"Yes, plenty of options",5,"Yes, but didn't use them",the point accumulation which in turn can be use to redeem for discounts ,5,"the customer service, self serve sauce bar ",NA,Special promotions,Good quality food ,Much better,5,Strongly agree,"the way they have secret codes for u to redeem items, nail services, dessert bar and even now there is a built ur own soft toy at one of their outlets "
2024/11/07 3:31:33 PM GMT+8,18 - 24,Female,Rarely,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Convenient location;Restaurant promotions or discounts;Previous positive experience (staff service),Very easy,Walk-in (no reservation),4,5 - 15 minutes,4,3,3,3,"Yes, plenty of options",2,"Yes, I used them",Discounts,3,The service,Na,Food variety;Service quality;Cleanliness;Special promotions,"Can eat, free snacks, service is great",Slightly better,3,Neutral,Na
2024/11/07 5:37:15 PM GMT+8,35 - 44,Female,Weekly,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Convenient location;Quality of food,Somewhat easy,Walk-in (no reservation),3,15 - 30 minutes,4,3,3,4,"Yes, but could be better",3,"No, none available",gh,2,ghj,hj,Special promotions,nan,Slightly better,4,Neutral,yrhe
2024/11/09 11:57:33 PM GMT+8,18 - 24,Female,Monthly,HaiDiLao,Returning customer,Social media,Previous positive experience (staff service),Very easy,Walk-in (no reservation),5,5 - 15 minutes,5,5,5,4,"Yes, but could be better",3,"Yes, but didn't use them",birthday coupons,3,service provided by the staff!,na,Food variety;Service quality;Cleanliness,clean and good service,Slightly better,3,Agree,na
2024/11/09 11:58:09 PM GMT+8,18 - 24,Female,Every few months,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Quality of food;Previous positive experience (staff service),Somewhat easy,Third-party booking platform,4,5 - 15 minutes,5,4,5,5,"Yes, plenty of options",3,"Yes, I used them",points accumulation in exchange for discounts,5,the food,NA,NA,"Clean,Quality,tasty ",Slightly better,5,Agree,the customer service 
2024/11/10 1:02:30 AM GMT+8,18 - 24,Female,Rarely,Shiok Garden Hotpot,New customer,Social media,Convenient location;Price,Somewhat easy,Phone,5,Less than 5 minutes,5,4,5,4,"Yes, but could be better",5,I'm not sure of the options available,NA,1,The restaurant was basically almost empty so it was rather quiet and easy to take the ingredients from the buffet line.,NA,NA;The restaurant has permanently closed so I don't think this would be applicable.,"Local, Inclusive, Diverse",About the same,3,Neutral,NA
2024/11/10 7:56:46 PM GMT+8,18 - 24,Female,Every few months,Paradise Hotpot,New customer,Walked By,Convenient location;Quality of food;Price,Very easy,Third-party booking platform,5,More than 30 minutes,3,3,5,5,"Yes, but could be better",4,"Yes, but didn't use them",points accumulation,3,it was a buffet style so i could order as much for a reasonable price,food took very long to come after we ordered,Service quality;Special promotions,"Reasonable, Good quality",About the same,4,Agree,the reasonably priced buffet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,count(,,,,
